GRB,Swift Trigger Number,BAT RA (J2000),BAT Dec (J2000),BAT T90,BAT Fluence (15-150 keV),BAT Photon Index (15-150 keV) (PL = simple power-law),Swift Comments,Redshift,Host Galaxy
180905A,859421,91.038,-4.592,165.3,42.0,1.6,-,-,-
180904A,859282,274.26,46.64,5.4,2.4,1.02,UVOT: no detection,-,-
180828A,856977,268.704,-25.791,14.0,88.0,0.89,UVOT: no detection,-,-
180823A,855434,210.358,14.901,80.3,78.0,1.58,UVOT: no detection,-,-
180821A,854578,7.739,-38.612,64.0,14.0,1.79,UVOT: no detection,-,-
180818B,853882,104.227,39.31,134.4,23.0,1.77,UVOT: no detection,-,-
180818A,853824,169.698,-48.344,13.7,2.6,2.15,UVOT: no detection,-,-
180812A,852903,245.839,74.674,16.51,8.0,1.22,-,-,-
180809B,852553,299.712,-15.293,233.2,730.0,1.26,-,-,-
180805B,851855,25.877,-17.475,122.5,9.6,1.13,UVOT: no detection,-,-
180805A,851829,167.575,-45.327,1.68,1.1,1.58,UVOT: no detection,-,-
180728A,850471,253.574,-54.037,8.68,296.0,1.97,"Due to an observing constraint, Swift did not slew until T0+23.6 minutes.",0.117,-
180727A,850231,346.639,-63.066,1.1,2.7,-,UVOT: no detection,-,-
180721A,849018,347.708,4.871,47.6,5.9,1.25,UVOT: no detection,-,-
180720C,848932,265.655,-26.634,124.2,24.0,1.39,BAT: The temporal and spectral characteristics of this burst are consistent with those of a long GRB.|UVOT: no detection,-,-
180720B,848890,0.528,-2.925,-,860.0,1.36,-,0.654,-
180718A,Ground Analysis,336.019,2.79,0.08,-,-,XRT: no detection,-,-
180715A,848048,235.085,-0.899,0.68,1.3,0.74,"Due to an observing constraint, Swift did not slew until T0+50.9 minutes.|XRT: Five sources consistent with BAT position; none of them is above the RASS limit or shows definitive signs of fading.|UVOT no detection",-,-
180709A,846868,38.086,60.333,215.1,14.0,1.37,UVOT: no detection,-,-
180706A,846395,181.687,66.044,42.7,24.0,1.9,-,-,-
180705A,846299,212.605,-11.64,123.2,20.0,1.63,"Due to an observing constraint, Swift did not slew until T0+54 minutes.|UVOT: no detection",-,-
180704A,846088,32.605,69.965,19.7,62.0,1.22,"Due to an observing constraint, Swift did not slew until T0+48.1 minutes.|UVOT: no detection",-,-
180630A,845443,48.885,-87.476,18.85,18.0,2.07,-,-,-
180626A,844615,243.569,14.759,30.07,48.0,1.64,-,-,-
180624A,844192,318.096,-2.356,486.4,58.0,1.91,UVOT: no detection,2.855,-
180623A,844015,214.528,-60.268,114.9,120.0,1.45,UVOT: no detection,-,-
180620B,843211,357.514,-57.954,198.8,100.0,-,-,1.1175,-
180620A,843122,279.89,23.239,23.16,58.0,1.72,-,-,-
180618A,842475,169.948,73.825,47.4,6.7,1.39,-,-,-
180614A,841548,3.073,46.969,7.04,2.1,1.53,UVOT: no detection,-,-
180613A,840853,211.545,-43.082,50.8,-,-,UVOT: no detection,-,-
180602A,835200,142.343,32.08,45.4,16.0,1.72,UVOT: no detection,-,-
180514A,832368,197.382,36.97,46.9,10.0,1.77,-,-,-
180512A,832119,201.94,21.404,24.0,4.2,2.1,UVOT: no detection,-,-
180510B,831816,77.965,-62.32,134.3,21.0,2.0,-,1.305,-
180510A,831810,276.335,-31.917,40.4,62.0,-,-,-,-
180504A,830822,331.144,-14.665,88.3,22.0,1.5,UVOT: no detection,-,-
180425A,828672,64.45,-32.949,11.2,11.0,1.35,UVOT: no detection,-,-
180418A,826428,170.132,24.925,2.29,3.2,1.44,"Due to an observing constraint, Swift did not slew until T0+49.6 minutes.",-,-
180411A,824451,356.84,66.79,77.5,120.0,1.46,UVOT: no detection,-,-
180410A,824063,95.974,12.804,100.7,22.0,1.46,"The spectral and temporal behaviors are consistent with those of a GRB. However, due to the proximity to the Galactic plane (0.17 degrees), we cannot rule out the possibility that this is a Galactic transient..|UVOT: no detection",-,-
180407A,823001,35.236,33.513,95.9,14.0,1.94,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 12:55 UT on 2018 June 19.",-,-
180404B,821902,53.39,-50.213,111.5,120.0,1.35,-,-,-
180404A,821881,83.54,-37.168,35.2,13.0,1.95,-,1.0,-
180402A,821103,251.923,-14.928,0.18,1.4,0.52,UVOT: no detection,-,-
180331B,820513,196.781,61.735,147.0,19.0,2.48,UVOT: no detection,-,-
180331A,820347,66.005,13.386,48.0,6.1,-,UVOT: no detection,-,-
180329B,819490,82.905,-23.694,210.0,33.0,-,-,1.998,-
180329A,819301,329.314,-15.043,9.1,2.3,1.39,"Due to an observing constraint, there are no observations of this source with the Swift XRT or UVOT.",-,-
180325A,817564,157.416,24.461,94.1,65.0,1.18,-,2.25,-
180324A,817345,76.581,56.744,7.2,5.6,1.45,UVOT: no detection,-,-
180316A,814677,265.422,0.737,87.0,49.0,1.46,-,-,-
180314B,814305,297.855,23.634,73.0,9.6,2.41,UVOT: no detection,-,-
180314A,814129,99.208,-24.53,51.2,110.0,-,-,1.445,-
180311A,813721,3.379,-54.491,23.0,3.3,1.78,UVOT: no detection,-,-
180224A,811561,202.675,38.073,10.9,4.7,2.11,-,-,-
180222A,811235,256.537,-36.819,64.0,7.9,1.4,UVOT: no detection,-,-
180205A,808625,126.819,11.536,15.5,10.0,2.04,-,1.409,-
180204A,808483,330.123,30.852,1.16,4.8,1.09,UVOT: no detection,-,-
